,State,City,2018 Population,2020 Population
0,Massachusetts,Boston,4436124.0,"710,195"
1,Missouri,St. Louis,2602213.0,"293,792"
2,Louisiana,New Orleans,1249362.0,"390,128"
3,Washington,Seattle,3939363.0,"783,137"
4,California,Los Angeles,17913847.0,"4,015,940"
5,Colorado,Denver,2932415.0,"734,134"
6,Tennessee,Memphis,1311917.0,"647,374"
7,Massachusetts,Worcester,830839.0,"186,433"
8,Florida,Miami,6359694.0,"486,388"
9,Wisconsin,Madison,366519.0,"264,030"
10,Texas,Austin,2180018.0,"988,218"
11,New York,Rochester,846313.0,"203,792"
12,Indiana,Indianapolis,2033469.0,"875,929"
13,District of Columbia,Washington,9115152.0,"720,687"
14,Washington,Spokane,538973.0,"223,266"
15,Oklahoma,Tulsa,1034904.0,"396,543"
16,Oregon,Portland,2371808.0,"664,103"
17,Wisconsin,Milwaukee,1576113.0,"585,589"
18,Arizona,Peoria,318376.0,"180,219"
19,Minnesota,Minneapolis,3575736.0,"437,069"
20,California,Lancaster,348940.0,"158,627"
21,North Carolina,Durham,316739.0,"282,737"
22,Texas,Lubbock,367493.0,"260,823"
23,Pennsylvania,Pittsburgh,1425798.0,"294,860"
24,Arizona,Phoenix,4857962.0,"1,703,080"
25,Rhode Island,Providence,974773.0,"178,901"
26,Nevada,Las Vegas,2282194.0,"662,000"
27,Virginia,Virginia Beach,1185493.0,"447,841"
28,Texas,San Antonio,2537852.0,"1,578,030"
29,Florida,Tallahassee,385145.0,"199,205"
30,Georgia,Atlanta,5600743.0,"523,738"
31,Virginia,Richmond,1170325.0,"232,055"
32,Pennsylvania,Philadelphia,6466183.0,"1,591,800"
33,California,San Francisco,6728591.0,"896,047"
34,Texas,El Paso,738939.0,"685,575"
35,Texas,El Paso,845553.0,"685,575"
36,Ohio,Cincinnati,2139570.0,"306,487"
37,Alabama,Mobile,413757.0,"186,804"
38,Alabama,Montgomery,700326.0,"197,282"
39,Mississippi,Jackson,2063645.0,"160,080"
40,New Mexico,Albuquerque,942673.0,"561,188"
41,Virginia,Newport News,439126.0,"177,064"
42,Florida,Jacksonville,1629078.0,"926,371"
43,California,San Diego,3343364.0,"1,447,100"
44,Texas,Houston,7097351.0,"2,340,890"
45,California,Sacramento,2345210.0,"521,769"
46,Ohio,Columbus,2070508.0,"922,223"
47,Georgia,Columbus,2070508.0,"189,296"
48,Texas,Dallas,7712624.0,"1,382,270"
49,North Carolina,Charlotte,2038115.0,"905,318"
50,New York,New York City,,"8,323,340"
51,Illinois,Chicago,,"2,694,240"
52,California,San Jose,,"1,033,670"
53,Texas,Fort Worth,,"932,116"
54,Tennessee,Nashville,,"673,167"
55,Michigan,Detroit,,"667,272"
56,Oklahoma,Oklahoma City,,"655,407"
57,Kentucky,Louisville,,"624,890"
58,Maryland,Baltimore,,"590,479"
59,Arizona,Tucson,,"553,871"
60,California,Fresno,,"538,195"
61,Arizona,Mesa,,"527,666"
62,Missouri,Kansas City,,"505,198"
63,Kansas,Kansas City,,"153,600"
64,Colorado,Colorado Springs,,"485,946"
65,North Carolina,Raleigh,,"481,958"
66,Nebraska,Omaha,,"470,702"
67,California,Long Beach,,"463,218"
68,California,Oakland,,"435,224"
69,Florida,Tampa,,"413,704"
70,Texas,Arlington,,"402,762"
71,Virginia,Arlington,,"231,803"
72,California,Bakersfield,,"390,233"
73,Kansas,Wichita,,"388,771"
74,Colorado,Aurora,,"382,742"
75,Illinois,Aurora,,"198,870"
76,Ohio,Cleveland,,"379,233"
77,California,Anaheim,,"352,911"
78,Hawaii,Honolulu,,"342,933"
79,California,Riverside,,"336,285"
80,Puerto Rico,San Juan,,"331,165"
81,California,Santa Ana,,"330,389"
82,Nevada,Henderson,,"330,084"
83,Kentucky,Lexington,,"328,690"
84,Texas,Corpus Christi,,"325,406"
85,California,Stockton,,"316,996"
86,Minnesota,St. Paul,,"311,895"
87,California,Irvine,,"303,956"
88,North Carolina,Greensboro,,"299,946"
89,Nebraska,Lincoln,,"293,905"
90,Florida,Orlando,,"291,739"
91,Texas,Plano,,"288,539"
92,Alaska,Anchorage,,"285,634"
93,New Jersey,Newark,,"282,862"
94,California,Chula Vista,,"277,289"
95,Florida,St. Petersburg,,"271,842"
96,New Jersey,Jersey City,,"271,099"
97,Indiana,Fort Wayne,,"270,989"
98,Ohio,Toledo,,"270,651"
99,Arizona,Chandler,,"268,675"
100,Texas,Laredo,,"264,703"
101,Arizona,Scottsdale,,"262,222"
102,Nevada,Reno,,"260,258"
103,Arizona,Gilbert,,"258,935"
104,New York,Buffalo,,"255,244"
105,Arizona,Glendale,,"254,500"
106,California,Glendale,,"204,765"
107,Nevada,North Las Vegas,,"253,923"
108,North Carolina,Winston-Salem,,"251,762"
109,Virginia,Chesapeake,,"248,106"
110,Texas,Garland,,"246,627"
111,Texas,Irving,,"243,738"
112,Florida,Hialeah,,"243,208"
113,Virginia,Norfolk,,"242,234"
114,California,Fremont,,"239,525"
