,City,State,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19
0,New York,NY,629748,629807,630547,630499,631055,630202,630091,628669,627101,625656,624568,624329
1,Los Angeles,CA,699716,696405,693381,692770,697440,703920,705113,704907,704465,707935,710133,714109
2,Houston,TX,183815,184795,185234,185159,185422,186223,187154,187964,188095,188369,188440,188921
3,Chicago,IL,267126,266817,266950,267709,268376,268754,268861,268746,267868,267303,266611,266519
4,San Antonio,TX,184815,186346,186831,187843,188627,189666,190293,190770,191362,191720,192199,192325
5,Philadelphia,PA,177907,179071,179781,180174,181325,182673,183668,183991,184573,185380,186238,186795
6,Phoenix,AZ,242192,243306,244429,244761,245774,247147,248933,250583,251781,253324,255088,257337
7,Las Vegas,NV,279462,280620,280417,280676,281693,282781,282779,281549,280108,279979,280729,281244
8,San Diego,CA,615909,613588,612204,615592,618648,623412,627187,629266,629183,628874,630743,633984
9,Dallas,TX,223915,225327,226484,227286,227824,228395,228887,229518,230722,230972,231202,230695
10,Austin,TX,378347,380999,382149,383238,383847,385673,387330,388758,390349,391345,393282,395049
11,San Jose,CA,989820,972031,957721,954492,951359,946585,938501,931886,933823,935461,940838,947015
12,Jacksonville,FL,184674,185042,185317,185896,186559,188100,189227,189912,190140,190535,190848,191599
13,Indianapolis,IN,147056,147920,148186,148020,148725,149014,149231,149389,150364,151603,152719,153124
14,San Francisco,CA,1386652,1385014,1383083,1376093,1382435,1387449,1395679,1392489,1392254,1395220,1401939,1413397
15,Charlotte,NC,232597,233074,234022,235074,236166,236917,237399,238284,239022,240084,241274,242492
16,Fort Worth,TX,207521,208367,208952,209529,210714,211244,211804,212186,213082,213807,214445,214908
17,Tucson,AZ,192168,193313,194421,194853,195838,197319,198686,199600,200457,201461,202795,204919
18,Columbus,OH,155769,157139,158686,159822,160974,162067,162824,163338,164146,165051,166075,167254
19,Louisville,KY,168812,169191,169571,170087,171135,172251,173048,173334,173748,174359,175407,176334
20,Orlando,FL,250883,251624,252222,251646,251705,251835,252512,253274,254246,255100,256121,256928
21,El Paso,TX,132140,132530,133449,134605,135873,136893,137564,138121,137497,136853,136370,136897
22,Detroit,MI,38910,39221,39033,38992,39076,39837,40523,40720,40512,40464,40557,40734
23,Denver,CO,450567,450453,449317,448412,447653,448098,448554,449447,449812,449867,449973,451032
24,Seattle,WA,728099,721241,715781,711429,711198,710696,711603,710838,710002,709227,712133,716873
25,Memphis,TN,88357,89310,90265,90557,91197,91496,92020,92464,93081,93611,94227,94937
26,Boston,MA,637784,634433,631663,632359,637436,641692,642332,640752,638839,638262,637221,637140
