,City,State,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
0,New York,NY,624680,624947,624563,625025,625187,626609,627671,629936,632271
1,Los Angeles,CA,718163,724618,731034,736655,738996,740780,747509,757047,768046
2,Houston,TX,189055,189529,190455,191618,192630,193385,194246,195245,196902
3,Chicago,IL,266784,267377,268315,269091,269955,271134,273126,275564,278816
4,San Antonio,TX,192858,193046,193730,194053,194575,195057,195872,196886,198162
5,Philadelphia,PA,187396,188247,189442,191066,192318,193802,195511,198004,200306
6,Phoenix,AZ,259546,261597,263953,267234,270216,273071,275893,279421,283594
7,Las Vegas,NV,282177,282892,284846,286524,287608,288093,289519,292352,296251
8,San Diego,CA,638686,642553,647185,650453,654631,657172,660671,666445,675496
9,Dallas,TX,230703,230670,231024,232047,233252,234470,235798,236837,238156
10,Austin,TX,397451,399315,402573,406323,410451,413615,417354,421494,426750
11,San Jose,CA,958151,968549,979268,984799,989949,998100,1010350,1030127,1046488
12,Jacksonville,FL,192667,194255,196064,197325,198323,198746,199463,200983,203055
13,Indianapolis,IN,153810,155138,156383,157786,158791,160350,162090,163968,165692
14,San Francisco,CA,1417593,1421552,1420159,1421413,1415458,1408505,1401285,1401870,1405199
15,Charlotte,NC,243315,245057,246638,248485,250435,252816,255363,257873,260711
16,Fort Worth,TX,215357,216210,217223,218299,219122,220326,221649,223451,224982
17,Tucson,AZ,206358,207666,209001,210940,212482,213795,215405,217591,219800
18,Columbus,OH,168904,170573,171875,173030,173885,175032,176507,178527,180611
19,Louisville,KY,177435,178321,179348,180509,181415,182286,183450,185259,187166
20,Orlando,FL,258083,259631,260960,262511,263933,265577,266916,268462,269743
21,El Paso,TX,137559,138077,138410,138697,139006,139416,140242,141364,143505
22,Detroit,MI,40947,41216,41660,41863,41924,41636,41568,41877,42486
23,Denver,CO,452463,454336,456527,458233,459622,460818,462413,464383,466601
24,Seattle,WA,721847,725892,730218,735381,739211,745142,752713,763100,773508
25,Memphis,TN,95635,96432,97271,98296,99097,100182,101283,102574,103782
26,Boston,MA,638427,641871,644810,645775,645083,644869,647531,652808,659598
27,Washington,DC,629677,631945,633172,634671,633860,634110,634918,637786,641121
