,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
168,Salt Lake City ,UT,200435,200567,213367,0.06585676154364258,6.381907292824842,6.316050531281199
64,Hialeah ,FL,234941,233339,243208,-0.6818733213870717,4.229468712902686,4.911342034289758
111,Jersey City ,NJ,263851,262075,271099,-0.6731071703347723,3.4432891347896595,4.116396305124431
27,Irvine ,CA,281732,287401,303956,2.012195987676231,5.760244397201123,3.7480484095248916
169,Alexandria ,VA,159069,159428,165748,0.22568822334961555,3.964171914594676,3.7384836912450603
175,Bellevue ,WA,147064,148164,154647,0.7479736713267693,4.37555681542075,3.6275831440939807
154,Garland ,TX,241709,239928,246627,-0.7368364438229441,2.7920876262878864,3.5289240701108304
24,Glendale ,CA,200688,199303,204765,-0.6901259666746392,2.7405508196063284,3.4306767862809675
140,Clarksville ,TN,156376,158146,164496,1.131887246124725,4.015277022498198,2.8833897763734733
74,Tampa ,FL,397232,399700,413704,0.6212993917911951,3.503627720790593,2.8823283289993977
67,Miami ,FL,462819,467963,486388,1.1114496163727072,3.9372770924197,2.8258274760469924
149,Dallas ,TX,1341802,1343573,1382270,0.13198668656031218,2.8801561210295237,2.7481694344692116
85,Des Moines ,IA,215994,214237,217891,-0.8134485217181958,1.7055877369455326,2.5190362586637285
167,Waco ,TX,137886,139236,144015,0.9790696662460293,3.4323019908644317,2.4532323246184022
176,Seattle ,WA,742235,753675,783137,1.5412908310710218,3.9091120177795466,2.367821186708525
94,Boston ,MA,691147,692600,710195,0.21023024045535899,2.5404273751082873,2.3301971346529284
157,Irving ,TX,241424,239798,243738,-0.6735038769964875,1.6430495667186549,2.3165534437151423
134,Salem ,OR,172646,174365,179944,0.995679019496542,3.1996100134774754,2.2039309939809333
132,Eugene ,OR,170701,172622,178329,1.1253595468099191,3.306067592774965,2.180708045965046
72,St. Petersburg ,FL,264466,265351,271842,0.3346365884461519,2.446193909199513,2.111557320753361
