,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
101,Jackson ,MS,163772,160628,160080,-1.9197420804533132,-0.3411609432975571,1.578581137155756
93,Baltimore ,MD,602443,593490,590479,-1.4861156989125943,-0.5073379500918297,0.9787777488207646
92,Shreveport ,LA,189360,187112,183819,-1.187156738487537,-1.7599085039976057,-0.5727517655100687
164,Pasadena ,TX,152733,151227,151891,-0.9860344522794681,0.4390750328975646,1.4251094851770327
103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407,-1.3200117682061037
77,Savannah ,GA,145817,144464,145754,-0.9278753506106969,0.8929560305681693,1.8208313811788663
90,Baton Rouge ,LA,222190,220236,216701,-0.8794275169899635,-1.6050963511869087,-0.7256688341969453
85,Des Moines ,IA,215994,214237,217891,-0.8134485217181958,1.7055877369455326,2.5190362586637285
53,Torrance ,CA,144706,143592,143912,-0.7698367724904289,0.22285364087135776,0.9926904133617866
129,Toledo ,OH,274864,272779,270651,-0.758556959077944,-0.7801187041524458,-0.021561745074501815
154,Garland ,TX,241709,239928,246627,-0.7368364438229441,2.7920876262878864,3.5289240701108304
78,Aurora ,IL,199199,197757,198870,-0.7238992163615279,0.5628119358606776,1.2867111522222054
29,Long Beach ,CA,465865,462628,463218,-0.6948364869651079,0.12753227214954566,0.8223687591146536
37,Palmdale ,CA,156158,155079,156299,-0.6909668412761434,0.7866958131017096,1.4776626543778528
24,Glendale ,CA,200688,199303,204765,-0.6901259666746392,2.7405508196063284,3.4306767862809675
64,Hialeah ,FL,234941,233339,243208,-0.6818733213870717,4.229468712902686,4.911342034289758
157,Irving ,TX,241424,239798,243738,-0.6735038769964875,1.6430495667186549,2.3165534437151423
111,Jersey City ,NJ,263851,262075,271099,-0.6731071703347723,3.4432891347896595,4.116396305124431
28,Lancaster ,CA,158622,157601,158627,-0.6436685957811653,0.6510110976453195,1.2946796934264848
116,New York ,NY,8390081,8336817,8323340,-0.6348448840958747,-0.16165642114970258,0.4731884629461721
