,Unnamed: 0,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
76,76,Columbus ,GA,194169,195769,189296,0.8240244323244184,-3.306447905439574,-4.130472337763992
163,163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856,-3.4210758561909915
121,121,Fayetteville ,NC,210748,211657,205646,0.43132081917740617,-2.8399722192037116,-3.271293038381118
11,11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893,-2.927363175843742
10,10,Surprise ,AZ,137717,141664,142049,2.8660223501818947,0.2717698215495821,-2.5942525286323126
21,21,Fremont ,CA,237811,241110,239525,1.387236082435211,-0.6573763012732777,-2.044612383708489
32,32,Moreno Valley ,CA,208889,213055,212992,1.9943606412975312,-0.029569829386778063,-2.0239304706843093
109,109,North Las Vegas ,NV,245349,251974,253923,2.70023517519941,0.773492503194774,-1.926742672004636
150,150,Denton ,TX,138315,141541,142173,2.332357300365109,0.4465137310037374,-1.8858435693613713
84,84,Indianapolis ,IN,880739,886220,875929,0.6223183031522391,-1.1612240752860465,-1.7835423784382858
106,106,Omaha ,NE,477299,478192,470702,0.18709446280004777,-1.5663164586609564,-1.753410921461004
136,136,Pittsburgh ,PA,300570,300286,294860,-0.09448714109857936,-1.8069440466755027,-1.7124569055769232
171,171,Newport News ,VA,178523,179225,177064,0.3932266430655994,-1.2057469661040592,-1.5989736091696587
35,35,Ontario ,CA,180718,185010,186653,2.374970949213692,0.8880601048591967,-1.4869108443544952
131,131,Tulsa ,OK,400414,401190,396543,0.19379941760278113,-1.1583040454647424,-1.3521034630675235
71,71,Port St. Lucie ,FL,194808,201846,206410,3.6127879758531476,2.2611297722025703,-1.3516582036505773
103,103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407,-1.3200117682061037
130,130,Oklahoma City ,OK,647912,655057,655407,1.1027732161157688,0.053430464829778174,-1.0493427512859907
143,143,Murfreesboro ,TN,141442,146900,151066,3.85882552565716,2.835942818243703,-1.0228827074134568
118,118,Yonkers ,NY,199883,200370,199021,0.24364253088056514,-0.673254479213455,-0.9168970100940201
