,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
153,Frisco ,TX,188452,200490,215060,6.38783350667544,7.267195371340216,0.8793618646647765
162,McKinney ,TX,191748,199177,208487,3.8743559254855326,4.674234474864066,0.799878549378533
143,Murfreesboro ,TN,141442,146900,151066,3.85882552565716,2.835942818243703,-1.0228827074134568
71,Port St. Lucie ,FL,194808,201846,206410,3.6127879758531476,2.2611297722025703,-1.3516582036505773
107,Henderson ,NV,309518,320189,330084,3.447618555302115,3.0903622547932628,-0.35725630050885204
10,Surprise ,AZ,137717,141664,142049,2.8660223501818947,0.2717698215495821,-2.5942525286323126
163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856,-3.4210758561909915
109,North Las Vegas ,NV,245349,251974,253923,2.70023517519941,0.773492503194774,-1.926742672004636
62,Cape Coral ,FL,189468,194495,199503,2.6532184854434524,2.574873390061441,-0.07834509538201129
35,Ontario ,CA,180718,185010,186653,2.374970949213692,0.8880601048591967,-1.4869108443544952
150,Denton ,TX,138315,141541,142173,2.332357300365109,0.4465137310037374,-1.8858435693613713
110,Reno ,NV,250146,255601,260258,2.1807264557498423,1.8219803521895455,-0.3587461035602968
7,Peoria ,AZ,172263,175961,180219,2.146717519142242,2.4198543995544464,0.2731368804122045
11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893,-2.927363175843742
27,Irvine ,CA,281732,287401,303956,2.012195987676231,5.760244397201123,3.7480484095248916
158,Killeen ,TX,148683,151666,153973,2.006281821055534,1.5211055872773067,-0.4851762337782275
32,Moreno Valley ,CA,208889,213055,212992,1.9943606412975312,-0.029569829386778063,-2.0239304706843093
6,Mesa ,AZ,507945,518012,527666,1.981907489984152,1.8636633900372963,-0.1182440999468557
138,Sioux Falls ,SD,180398,183793,190519,1.881949910752891,3.65955177835935,1.7776018676064589
41,Roseville ,CA,138953,141500,143921,1.8329938900203666,1.7109540636042402,-0.12203982641612643
