,Unnamed: 0,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
168,168,Salt Lake City ,UT,200435,200567,213367,0.06585676154364258,6.381907292824842,6.316050531281199
64,64,Hialeah ,FL,234941,233339,243208,-0.6818733213870717,4.229468712902686,4.911342034289758
111,111,Jersey City ,NJ,263851,262075,271099,-0.6731071703347723,3.4432891347896595,4.116396305124431
27,27,Irvine ,CA,281732,287401,303956,2.012195987676231,5.760244397201123,3.7480484095248916
169,169,Alexandria ,VA,159069,159428,165748,0.22568822334961555,3.964171914594676,3.7384836912450603
175,175,Bellevue ,WA,147064,148164,154647,0.7479736713267693,4.37555681542075,3.6275831440939807
154,154,Garland ,TX,241709,239928,246627,-0.7368364438229441,2.7920876262878864,3.5289240701108304
24,24,Glendale ,CA,200688,199303,204765,-0.6901259666746392,2.7405508196063284,3.4306767862809675
140,140,Clarksville ,TN,156376,158146,164496,1.131887246124725,4.015277022498198,2.8833897763734733
74,74,Tampa ,FL,397232,399700,413704,0.6212993917911951,3.503627720790593,2.8823283289993977
67,67,Miami ,FL,462819,467963,486388,1.1114496163727072,3.9372770924197,2.8258274760469924
149,149,Dallas ,TX,1341802,1343573,1382270,0.13198668656031218,2.8801561210295237,2.7481694344692116
85,85,Des Moines ,IA,215994,214237,217891,-0.8134485217181958,1.7055877369455326,2.5190362586637285
167,167,Waco ,TX,137886,139236,144015,0.9790696662460293,3.4323019908644317,2.4532323246184022
176,176,Seattle ,WA,742235,753675,783137,1.5412908310710218,3.9091120177795466,2.367821186708525
94,94,Boston ,MA,691147,692600,710195,0.21023024045535899,2.5404273751082873,2.3301971346529284
157,157,Irving ,TX,241424,239798,243738,-0.6735038769964875,1.6430495667186549,2.3165534437151423
134,134,Salem ,OR,172646,174365,179944,0.995679019496542,3.1996100134774754,2.2039309939809333
132,132,Eugene ,OR,170701,172622,178329,1.1253595468099191,3.306067592774965,2.180708045965046
72,72,St. Petersburg ,FL,264466,265351,271842,0.3346365884461519,2.446193909199513,2.111557320753361
36,36,Oxnard ,CA,209271,208881,212715,-0.1863612253967344,1.8354948511353355,2.02185607653207
65,65,Hollywood ,FL,154381,154817,158239,0.2824181732207979,2.2103515763772714,1.9279334031564734
77,77,Savannah ,GA,145817,144464,145754,-0.9278753506106969,0.8929560305681693,1.8208313811788663
26,26,Huntington Beach ,CA,200126,199223,201941,-0.45121573408752486,1.3643003066914965,1.8155160407790214
138,138,Sioux Falls ,SD,180398,183793,190519,1.881949910752891,3.65955177835935,1.7776018676064589
128,128,Columbus ,OH,890869,898553,922223,0.8625286097058041,2.6342352649203775,1.7717066552145733
47,47,San Jose ,CA,1028020,1021795,1033670,-0.6055329662847027,1.1621704940814939,1.7677034603661965
155,155,Grand Prairie ,TX,193989,194543,198442,0.2855832031713138,2.0041841649403986,1.7186009617690847
141,141,Knoxville ,TN,187362,187603,191060,0.12862800354394166,1.842721065228168,1.7140930616842263
98,98,Grand Rapids ,MI,200136,201013,205289,0.4382020226246152,2.127225602324228,1.6890235796996127
95,95,Springfield ,MA,154329,153606,155472,-0.4684796765351943,1.2147962970196478,1.6832759735548422
25,25,Hayward ,CA,159760,159203,161314,-0.3486479719579369,1.3259800380646094,1.6746280100225464
75,75,Atlanta ,GA,498183,506811,523738,1.7318937017120215,3.3399038300273673,1.6080101283153458
101,101,Jackson ,MS,163772,160628,160080,-1.9197420804533132,-0.3411609432975571,1.578581137155756
46,46,San Francisco ,CA,880696,881549,896047,0.09685521451215856,1.6446051212127741,1.5477499067006155
73,73,Tallahassee ,FL,192763,194500,199205,0.9011065401555277,2.419023136246787,1.517916596091259
61,61,Washington ,District of Columbia,701547,705749,720687,0.5989620082474874,2.116616530806278,1.5176545225587907
45,45,San Diego ,CA,1421917,1423851,1447100,0.13601356478613028,1.6328253447867789,1.4968117800006486
37,37,Palmdale ,CA,156158,155079,156299,-0.6909668412761434,0.7866958131017096,1.4776626543778528
164,164,Pasadena ,TX,152733,151227,151891,-0.9860344522794681,0.4390750328975646,1.4251094851770327
178,178,Tacoma ,WA,216111,217827,222603,0.7940363979621584,2.1925656599044197,1.3985292619422611
4,4,Chandler ,AZ,257186,261165,268675,1.5471293149704883,2.8755767426722567,1.3284474277017684
102,102,Kansas City ,MO,492012,495327,505198,0.6737640545352552,1.9928249419070634,1.3190608873718082
28,28,Lancaster ,CA,158622,157601,158627,-0.6436685957811653,0.6510110976453195,1.2946796934264848
78,78,Aurora ,IL,199199,197757,198870,-0.7238992163615279,0.5628119358606776,1.2867111522222054
31,31,Modesto ,CA,214389,215196,218758,0.37641856625106695,1.6552352274205842,1.2788166611695173
20,20,Fontana ,CA,213202,214547,218573,0.6308571214153713,1.8765119064820295,1.2456547850666582
144,144,Amarillo ,TX,199183,199371,202028,0.09438556503316047,1.3326913141831058,1.2383057491499454
39,39,Rancho Cucamonga ,CA,177345,177603,180031,0.14547915080774762,1.3670940243126524,1.2216148735049048
44,44,San Bernardino ,CA,216323,215784,217671,-0.24916444391026382,0.8744855967078189,1.1236500406180827
87,87,Olathe ,KS,139758,140545,142841,0.563116243792842,1.6336404710235157,1.0705242272306736
70,70,Pembroke Pines ,FL,171975,173591,177058,0.9396714638755634,1.9972233583538317,1.0575518944782683
51,51,Stockton ,CA,311628,312697,316996,0.34303721103366835,1.3748133176845316,1.0317761066508633
63,63,Fort Lauderdale ,FL,182101,182437,184599,0.18451299004398658,1.1850666257392963,1.0005536356953098
53,53,Torrance ,CA,144706,143592,143912,-0.7698367724904289,0.22285364087135776,0.9926904133617866
