,Bottom 10 in 2018,Yearly Average of Bottom 10 in 2018,Bottom 10 in 2019,Yearly Average of Bottom 10 in 2019,Bottom 10 in 2020,Yearly Average of Bottom 10 in 2020
26085,Cotton Plant,11649.083333333334,Cotton Plant,11875.916666666666,Cotton Plant,12192.888888888889
12425,Davy,13147.166666666666,Davy,13513.166666666666,Davy,14242.666666666666
23558,East Laurinburg,14324.0,East Laurinburg,15835.333333333334,East Laurinburg,17041.777777777777
24552,Matoaka,14624.25,Matoaka,14648.0,Matoaka,14215.555555555555
24787,Patterson,15291.666666666666,Patterson,15732.0,Patterson,16781.333333333332
8241,Shenandoah,15806.333333333334,Shenandoah,16701.583333333332,Shenandoah,17352.222222222223
20678,Belmore,16417.75,Belmore,17830.0,Belmore,19124.222222222223
20809,Bramwell,16700.416666666668,Bramwell,17271.5,Bramwell,17249.444444444445
9384,Mahanoy City,16954.583333333332,Mahanoy City,16207.083333333334,Mahanoy City,15579.0
14412,Dobbins Heights,17751.083333333332,Dobbins Heights,18779.416666666668,Dobbins Heights,19275.222222222223
20700,Gosnell,17877.5,,,,
