,Top 10 in 2018,Yearly Average of Top 10 in 2018,Top 10 in 2019,Yearly Average of Top 10 in 2019,Top 10 in 2020,Yearly Average of Top 10 in 2020
6345,Atherton,6167858.75,Atherton,6348232.333333333,Atherton,6571907.555555556
13597,Avon,6072976.25,Avon,6515530.25,Avon,6801660.444444444
24281,Sagaponack,5259815.583333333,Sagaponack,5317295.0,Sagaponack,5477137.333333333
22092,Hunts Point,4836165.083333333,Hunts Point,4761428.166666667,Hunts Point,5073731.111111111
17869,Jupiter Island,4545706.166666667,Jupiter Island,4486881.166666667,Jupiter Island,4706631.777777778
5868,Los Altos Hills,4456008.083333333,Los Altos Hills,4089685.1666666665,Los Altos Hills,4260936.333333333
4694,Hillsborough,4381003.916666667,Hillsborough,4383599.0,Hillsborough,4491724.222222222
9159,Portola Valley,4286965.333333333,Portola Valley,4204185.166666667,Portola Valley,4218179.0
22953,Golden Beach,3750646.3333333335,Golden Beach,3684359.8333333335,Golden Beach,3681117.5555555555
24384,Fisher Island,3564074.0833333335,,,,
13433,Belvedere,3534377.6666666665,Belvedere,3649738.6666666665,Belvedere,3879285.4444444445
