,Unnamed: 0,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate
0,169,Columbus,GA,99332.91666666669,103932.16666666669,109395.33333333331,4.425242105026836,4.993966835879645
1,204,Midland,TX,243631.91666666663,270744.25,265191.11111111107,10.014001528502764,-2.094013960581881
2,103,Fayetteville,NC,118473.33333333331,123926.41666666669,129586.22222222223,4.400259024676613,4.36759823575208
3,174,Tempe,AZ,275710.5,291794.58333333326,317124.33333333326,5.512125396433271,7.987324635027482
4,268,Surprise,AZ,250862.75,265220.08333333326,285741.7777777777,5.413365817885204,7.181901996985623
5,114,Fremont,CA,1102804.083333333,1090737.666666667,1085007.2222222222,-1.1062620312308378,-0.5281480461215616
6,141,Moreno Valley,CA,325635.58333333326,340166.16666666674,356285.0,4.271613334071546,4.524140318378072
7,113,North Las Vegas,NV,249471.16666666663,266261.33333333326,273875.22222222225,6.305897464145497,2.7800575850235285
8,276,Denton,TX,240908.91666666663,249430.0,256635.8888888889,3.4162223202234463,2.8078258734921846
9,13,Indianapolis,IN,138144.66666666663,149612.58333333337,159334.22222222222,7.665074963057375,6.101412962828651
10,34,Omaha,NE,184378.66666666663,193938.75,204428.3333333333,4.9294343360124495,5.1311788157218965
11,60,Pittsburgh,PA,164473.58333333337,174351.16666666663,183322.0,5.665338249337772,4.893484324485518
12,183,Newport News,VA,178165.16666666663,183682.0,190976.0,3.003469764774634,3.81932808310992
13,168,Ontario,CA,412656.08333333326,424208.91666666674,442389.88888888893,2.7233829557645333,4.109716944002882
14,46,Tulsa,OK,123655.5,127037.5,133122.66666666663,2.6622060415231723,4.571097333787377
15,150,Port Saint Lucie,FL,221203.5833333333,230673.58333333328,238560.0,4.105368227759066,3.3058419964229784
16,68,Saint Louis,MO,121461.16666666669,125399.25,133162.66666666663,3.140436113719443,5.830024931912843
17,36,Oklahoma City,OK,134486.33333333337,140213.66666666663,148912.44444444447,4.084718322750265,5.8415385028637274
18,175,Murfreesboro,TN,247200.08333333328,258217.16666666663,270825.7777777777,4.266596011238596,4.655617059265649
19,138,Yonkers,NY,516635.41666666674,525744.75,538301.7777777779,1.7326532187593529,2.332711556260465
