,Top 10 in 2018,Yearly Average of Top 10 in 2018,Top 10 in 2019,Yearly Average of Top 10 in 2019,Top 10 in 2020,Yearly Average of Top 10 in 2020
6345,Atherton,6167858.75,Atherton,6348232.333333333,Atherton,6571907.555555556
13597,Avon,6072976.25,Avon,6515530.25,Avon,6801660.444444444
24281,Sagaponack,5259815.583333333,Sagaponack,5317295.0,Sagaponack,5477137.333333333
22092,Hunts Point,4836165.083333333,Hunts Point,4761428.166666667,Hunts Point,5073731.111111111
17869,Jupiter Island,4545706.166666667,Jupiter Island,4486881.166666667,Jupiter Island,4706631.777777778
5868,Los Altos Hills,4456008.083333333,Los Altos Hills,4089685.1666666665,Los Altos Hills,4260936.333333333
4694,Hillsborough,4381003.916666667,Hillsborough,4383599.0,Hillsborough,4491724.222222222
9159,Portola Valley,4286965.333333333,Portola Valley,4204185.166666667,Portola Valley,4218179.0
22953,Golden Beach,3750646.3333333335,Golden Beach,3684359.8333333335,Golden Beach,3681117.5555555555
24384,Fisher Island,3564074.0833333335,Fisher Island,3434930.4166666665,Fisher Island,3145460.888888889
13433,Belvedere,3534377.6666666665,Belvedere,3649738.6666666665,Belvedere,3879285.4444444445
4839,Woodside,3409515.6666666665,Woodside,3476527.8333333335,Woodside,3601019.0
22619,Stinson Beach,3372016.9166666665,Stinson Beach,3588899.0,Stinson Beach,3512610.3333333335
6357,Montecito,3164894.6666666665,Montecito,3218781.8333333335,Montecito,3281309.777777778
10856,Monte Sereno,3145459.0,Monte Sereno,3006009.5833333335,Monte Sereno,3107196.777777778
1684,Los Altos,3128493.4166666665,,,Los Altos,3123236.111111111
17706,Hidden Hills,3116892.3333333335,Hidden Hills,3263714.75,Hidden Hills,3518367.0
15640,Water Mill,3044480.0833333335,Water Mill,3052834.25,,
14340,Rolling Hills,3020172.6666666665,,,,
3803,Stanford,3015614.5,,,,
