,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate
101,Jackson ,MS,163772,160628,160080,-1.9197420804533132,-0.3411609432975571
93,Baltimore ,MD,602443,593490,590479,-1.4861156989125943,-0.5073379500918297
92,Shreveport ,LA,189360,187112,183819,-1.187156738487537,-1.7599085039976057
164,Pasadena ,TX,152733,151227,151891,-0.9860344522794681,0.4390750328975646
103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407
77,Savannah ,GA,145817,144464,145754,-0.9278753506106969,0.8929560305681693
90,Baton Rouge ,LA,222190,220236,216701,-0.8794275169899635,-1.6050963511869087
85,Des Moines ,IA,215994,214237,217891,-0.8134485217181958,1.7055877369455326
53,Torrance ,CA,144706,143592,143912,-0.7698367724904289,0.22285364087135776
129,Toledo ,OH,274864,272779,270651,-0.758556959077944,-0.7801187041524458
154,Garland ,TX,241709,239928,246627,-0.7368364438229441,2.7920876262878864
78,Aurora ,IL,199199,197757,198870,-0.7238992163615279,0.5628119358606776
29,Long Beach ,CA,465865,462628,463218,-0.6948364869651079,0.12753227214954566
37,Palmdale ,CA,156158,155079,156299,-0.6909668412761434,0.7866958131017096
24,Glendale ,CA,200688,199303,204765,-0.6901259666746392,2.7405508196063284
64,Hialeah ,FL,234941,233339,243208,-0.6818733213870717,4.229468712902686
157,Irving ,TX,241424,239798,243738,-0.6735038769964875,1.6430495667186549
111,Jersey City ,NJ,263851,262075,271099,-0.6731071703347723,3.4432891347896595
28,Lancaster ,CA,158622,157601,158627,-0.6436685957811653,0.6510110976453195
116,New York ,NY,8390081,8336817,8323340,-0.6348448840958747,-0.16165642114970258
47,San Jose ,CA,1028020,1021795,1033670,-0.6055329662847027,1.1621704940814939
