,Bottom 10 in 2018,Yearly Average of Bottom 10 in 2018,Bottom 10 in 2019,Yearly Average of Bottom 10 in 2019,Bottom 10 in 2020,Yearly Average of Bottom 10 in 2020
85,Toledo,121058.33333333333,Toledo,128295.83333333333,Toledo,134750.0
119,Wilmington,128016.66666666667,Wilmington,134608.33333333334,Wilmington,145725.0
105,Macon-Bibb County,130579.16666666667,Macon-Bibb County,139108.33333333334,Macon-Bibb County,147430.625
78,Syracuse,137474.83333333334,Syracuse,145170.91666666666,Syracuse,153806.25
69,Dayton,137579.16666666666,Dayton,141804.16666666666,Dayton,153706.25
73,Akron,141037.5,Akron,150702.08333333334,Akron,158329.125
70,McAllen,142250.0,McAllen,153316.66666666666,McAllen,165112.25
28,Cleveland,142304.16666666666,Cleveland,152145.83333333334,Cleveland,163350.0
50,Rochester,145054.16666666666,Rochester,150758.33333333334,Rochester,161187.5
116,Albemarle,145708.33333333334,,,,
81,Wichita,146247.91666666666,Wichita,154758.33333333334,Wichita,163625.0
