,Bottom 10 in 2018,Yearly Average of Bottom 10 in 2018,Bottom 10 in 2019,Yearly Average of Bottom 10 in 2019,Bottom 10 in 2020,Yearly Average of Bottom 10 in 2020
91,Youngstown,666.0,Youngstown,686.3333333333334,Youngstown,706.625
80,Wichita,786.1666666666666,Wichita,801.25,Wichita,822.875
72,Akron,824.5,Akron,846.4166666666666,Akron,877.5
84,Toledo,844.8333333333334,Toledo,864.0833333333334,Toledo,887.125
93,Scranton,849.75,Scranton,882.5,Scranton,911.5
74,Little Rock,867.3333333333334,Little Rock,887.8333333333334,Little Rock,911.5
69,Dayton,929.0833333333334,Dayton,969.8333333333334,Dayton,1009.625
42,Louisville,961.5833333333334,Louisville,989.0833333333334,Louisville,1014.75
77,Syracuse,983.8333333333334,Syracuse,1014.0,Syracuse,1067.375
46,Buffalo,1001.5833333333334,Buffalo,1036.1666666666667,Buffalo,1072.375
41,Oklahoma City,1020.75,Oklahoma City,1053.75,Oklahoma City,1069.75
