,City,State,2018 Population,2019 Population,2020 Population
0,Birmingham ,Alabama,210487,209403,"208,940"
1,Huntsville ,Alabama,198125,200574,"202,910"
2,Mobile ,Alabama,189809,188720,"186,804"
3,Montgomery ,Alabama,198899,198525,"197,282"
4,Chandler ,Arizona,257186,261165,"268,675"
5,Glendale ,Arizona,249955,252381,"254,500"
6,Mesa ,Arizona,507945,518012,"527,666"
7,Peoria ,Arizona,172263,175961,"180,219"
8,Phoenix ,Arizona,1654675,1680992,"1,703,080"
9,Scottsdale ,Arizona,254479,258069,"262,222"
10,Surprise ,Arizona,137717,141664,"142,049"
11,Tempe ,Arizona,191746,195805,"194,218"
12,Tucson ,Arizona,544858,548073,"553,871"
13,Little Rock ,Arkansas,197484,197312,"197,371"
14,Anaheim ,California,350698,350365,"352,911"
15,Bakersfield ,California,381714,384145,"390,233"
16,Chula Vista ,California,270819,274492,"277,289"
17,Corona ,California,168476,169868,"171,213"
18,Elk Grove ,California,172603,174775,"177,406"
19,Escondido ,California,151793,151625,"152,245"
20,Fontana ,California,213202,214547,"218,573"
21,Fremont ,California,237811,241110,"239,525"
22,Fresno ,California,528814,531576,"538,195"
23,Garden Grove ,California,172195,171644,"170,328"
24,Glendale ,California,200688,199303,"204,765"
25,Hayward ,California,159760,159203,"161,314"
26,Huntington Beach ,California,200126,199223,"201,941"
27,Irvine ,California,281732,287401,"303,956"
28,Lancaster ,California,158622,157601,"158,627"
29,Long Beach ,California,465865,462628,"463,218"
30,Los Angeles ,California,3977596,3979576,"4,015,940"
31,Modesto ,California,214389,215196,"218,758"
32,Moreno Valley ,California,208889,213055,"212,992"
33,Oakland ,California,429056,433031,"435,224"
34,Oceanside ,California,175758,175742,"176,950"
35,Ontario ,California,180718,185010,"186,653"
36,Oxnard ,California,209271,208881,"212,715"
37,Palmdale ,California,156158,155079,"156,299"
38,Pomona ,California,151925,151691,"152,405"
39,Rancho Cucamonga ,California,177345,177603,"180,031"
40,Riverside ,California,329654,331360,"336,285"
41,Roseville ,California,138953,141500,"143,921"
42,Sacramento ,California,507737,513624,"521,769"
43,Salinas ,California,155647,155465,"155,619"
44,San Bernardino ,California,216323,215784,"217,671"
45,San Diego ,California,1421917,1423851,"1,447,100"
46,San Francisco ,California,880696,881549,"896,047"
47,San Jose ,California,1028020,1021795,"1,033,670"
48,Santa Ana ,California,331912,332318,"330,389"
49,Santa Clarita ,California,213549,212979,"210,543"
50,Santa Rosa ,California,176750,176753,"177,132"
51,Stockton ,California,311628,312697,"316,996"
52,Sunnyvale ,California,152807,152703,"152,427"
53,Torrance ,California,144706,143592,"143,912"
54,Aurora ,Colorado,374572,379289,"382,742"
55,Colorado Springs ,Colorado,472567,478221,"485,946"
56,Denver ,Colorado,716265,727211,"734,134"
57,Fort Collins ,Colorado,168324,170243,"172,862"
58,Lakewood ,Colorado,156682,157935,"158,660"
59,Thornton ,Colorado,139352,141464,"143,890"
60,Bridgeport ,Connecticut,144772,144399,"143,010"
61,Washington ,District of Columbia,701547,705749,"720,687"
62,Cape Coral ,Florida,189468,194495,"199,503"
63,Fort Lauderdale ,Florida,182101,182437,"184,599"
64,Hialeah ,Florida,234941,233339,"243,208"
65,Hollywood ,Florida,154381,154817,"158,239"
66,Jacksonville ,Florida,902437,911507,"926,371"
67,Miami ,Florida,462819,467963,"486,388"
68,Miramar ,Florida,140564,141191,"143,219"
69,Orlando ,Florida,285903,287442,"291,739"
70,Pembroke Pines ,Florida,171975,173591,"177,058"
71,Port St. Lucie ,Florida,194808,201846,"206,410"
72,St. Petersburg ,Florida,264466,265351,"271,842"
73,Tallahassee ,Florida,192763,194500,"199,205"
74,Tampa ,Florida,397232,399700,"413,704"
75,Atlanta ,Georgia,498183,506811,"523,738"
76,Columbus ,Georgia,194169,195769,"189,296"
77,Savannah ,Georgia,145817,144464,"145,754"
78,Aurora ,Illinois,199199,197757,"198,870"
79,Chicago ,Illinois,2701423,2693976,"2,694,240"
80,Joliet ,Illinois,147730,147344,"148,227"
81,Naperville ,Illinois,148090,148449,"149,196"
82,Rockford ,Illinois,146307,145609,"145,020"
83,Fort Wayne ,Indiana,267460,270402,"270,989"
84,Indianapolis ,Indiana,880739,886220,"875,929"
85,Des Moines ,Iowa,215994,214237,"217,891"
86,Kansas City ,Kansas,152965,152960,"153,600"
87,Olathe ,Kansas,139758,140545,"142,841"
88,Overland Park ,Kansas,192724,195494,"196,636"
89,Wichita ,Kansas,389231,389938,"388,771"
90,Baton Rouge ,Louisiana,222190,220236,"216,701"
