METRO_ID,Metropolitan areas,VAR,Variables,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
USA116,Allen,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,409425,,
USA11,Boston,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,4436124,,
USA23,Orange,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,2572962,,
USA17,St. Louis,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,2602213,,
USA122,Winnebago (IL),T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,337658,,
USA49,Tampa-Hillsborough,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,1436888,,
USA42,New Orleans,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,1249362,,
USA150,St. Joseph,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,270771,,
USA87,Greene,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,535788,,
USA105,Genesee,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,406892,,
USA14,Seattle,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,3939363,,
USA02,Los Angeles (Greater),T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,17913847,,
USA35,Tampa-Pinellas,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,1514910,,
USA99,Mahoning,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,428269,,
USA68,Kent,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,717754,,
USA18,Denver,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,2932415,,
USA82,Summit,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,541918,,
USA152,Webb,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,283441,,
USA37,Memphis,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,1311917,,
USA135,Roanoke,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,314172,,
USA80,Dane,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,599722,,
USA61,Worcester,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,830839,,
USA09,Miami (Greater),T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,6359694,,
USA127,Madison,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,366519,,
USA30,Austin,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,2180018,,
USA157,Kalamazoo,T_T,"Population, all ages, administrative data",2018,2018,PER,Persons,0,Units,,,264870,,
