,City,State,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
0,United States,,229559.0,230838.0,232130.0,233376.0,234530.0,235509.0,236354.0,237170.0,238001.0,238866.0,239721.0,240488.0,241163.0,241832.0,242705.0,243691.0,244580.0,245202.0,245680.0,246261.0,246930.0,247737.0,248625.0,249639.0,250802.0,252042.0,253216.0,254423.0,255872.0,257736.0,259906.0
1,New York,NY,462565.0,465113.0,467189.0,469047.0,470161.0,471236.0,472394.0,473958.0,475527.0,476735.0,477324.0,477678.0,478130.0,478733.0,479568.0,480426.0,481178.0,481390.0,480752.0,480060.0,479577.0,479999.0,480758.0,481745.0,482804.0,484104.0,485517.0,487279.0,489670.0,492875.0,497090.0
2,Los Angeles,CA,648303.0,652626.0,655982.0,659491.0,661457.0,661765.0,660802.0,661376.0,662015.0,661613.0,660487.0,657745.0,655266.0,654579.0,658017.0,662376.0,664249.0,664279.0,665085.0,667400.0,669151.0,671796.0,675183.0,680320.0,685503.0,689705.0,691229.0,692332.0,696613.0,703740.0,711361.0
3,Chicago,IL,237993.0,238524.0,239302.0,240377.0,241087.0,241695.0,242195.0,242637.0,243059.0,243319.0,243400.0,243697.0,244071.0,244754.0,245443.0,246025.0,246377.0,246414.0,245994.0,245642.0,245289.0,245373.0,245631.0,246017.0,246628.0,247155.0,247719.0,248421.0,249650.0,251298.0,253512.0
4,Dallas,TX,242582.0,244311.0,245753.0,247152.0,248345.0,249450.0,250150.0,251136.0,252182.0,253641.0,254945.0,255807.0,256260.0,256605.0,257256.0,257749.0,258250.0,258636.0,259309.0,259667.0,260082.0,260294.0,260750.0,261428.0,262440.0,263584.0,264699.0,265992.0,267485.0,269183.0,270907.0
5,Philadelphia,PA,237000.0,238405.0,239485.0,240232.0,240937.0,241488.0,242160.0,242755.0,243632.0,244360.0,245203.0,245858.0,246850.0,247525.0,248434.0,249027.0,249787.0,250237.0,250510.0,250831.0,251227.0,251872.0,252632.0,253576.0,254324.0,255509.0,256799.0,258666.0,260637.0,263126.0,265912.0
6,Houston,TX,207591.0,208628.0,209757.0,210703.0,211405.0,212372.0,213306.0,214026.0,214471.0,215010.0,216106.0,217047.0,217598.0,217587.0,217897.0,218602.0,219450.0,220014.0,220109.0,220340.0,220613.0,221159.0,221359.0,221787.0,222530.0,223548.0,224420.0,225165.0,226007.0,227049.0,228576.0
7,Washington,DC,410695.0,412343.0,414442.0,416180.0,417609.0,418173.0,418443.0,418770.0,419082.0,420281.0,421840.0,423692.0,425066.0,425973.0,427054.0,428033.0,428503.0,429162.0,429968.0,431383.0,432739.0,433952.0,435044.0,436124.0,437577.0,439632.0,441727.0,444179.0,447399.0,451030.0,455038.0
8,Miami,FL,278844.0,280405.0,282148.0,283438.0,285066.0,286088.0,286951.0,287371.0,288845.0,290216.0,291608.0,291340.0,291488.0,291797.0,292320.0,293173.0,293951.0,294472.0,294610.0,295024.0,295548.0,295987.0,296648.0,298277.0,299596.0,300939.0,302132.0,303396.0,304694.0,306533.0,308911.0
9,Atlanta,GA,215644.0,217049.0,218563.0,220279.0,221955.0,223536.0,225021.0,226572.0,227987.0,229133.0,230023.0,230819.0,232008.0,233269.0,234620.0,235453.0,236216.0,236963.0,237660.0,238300.0,238981.0,239908.0,241002.0,242232.0,243417.0,244626.0,245768.0,247242.0,248841.0,250642.0,252586.0
10,Boston,MA,473442.0,476265.0,478855.0,481099.0,482853.0,484075.0,484180.0,485144.0,485668.0,486819.0,487401.0,488039.0,487458.0,487306.0,487707.0,489676.0,490700.0,491116.0,491540.0,492255.0,493349.0,494497.0,496306.0,498226.0,500878.0,503444.0,506016.0,507804.0,510810.0,515069.0,520206.0
11,San Francisco,CA,1051748.0,1064796.0,1079640.0,1091388.0,1099102.0,1105527.0,1107084.0,1107009.0,1102060.0,1092190.0,1082071.0,1076450.0,1071793.0,1071506.0,1075689.0,1080592.0,1082051.0,1075954.0,1073929.0,1073519.0,1075968.0,1081979.0,1089169.0,1095109.0,1099945.0,1100524.0,1096982.0,1094569.0,1096527.0,1105647.0,1113664.0
12,Detroit,MI,168323.0,169678.0,170971.0,172372.0,173517.0,174417.0,175224.0,176065.0,176978.0,177966.0,178590.0,179120.0,179020.0,179147.0,180059.0,181587.0,182900.0,183229.0,183161.0,183334.0,183736.0,184271.0,184918.0,185678.0,186902.0,188105.0,188738.0,188939.0,189560.0,191179.0,193270.0
13,Riverside,CA,358896.0,361031.0,363492.0,365543.0,367483.0,368052.0,369144.0,369098.0,369808.0,369637.0,371178.0,371880.0,373198.0,373801.0,374961.0,376160.0,377223.0,377712.0,377668.0,378777.0,379683.0,381663.0,382430.0,383813.0,385167.0,387435.0,389449.0,391805.0,394910.0,399300.0,404320.0
14,Phoenix,AZ,253529.0,255149.0,256822.0,258515.0,260034.0,261235.0,262513.0,263534.0,264475.0,265563.0,266823.0,268006.0,269022.0,269431.0,270587.0,272236.0,274217.0,275918.0,277105.0,278651.0,280382.0,282590.0,284743.0,286856.0,289390.0,292791.0,295837.0,298652.0,301491.0,305172.0,309543.0
15,Seattle,WA,488213.0,493382.0,497390.0,499870.0,500259.0,499947.0,501075.0,502152.0,502406.0,500671.0,499108.0,496925.0,495145.0,493631.0,495118.0,497317.0,500038.0,501313.0,502089.0,503201.0,505714.0,509692.0,513810.0,517960.0,522472.0,527437.0,531040.0,535111.0,540297.0,547742.0,555689.0
16,Minneapolis,MN,271047.0,272662.0,274119.0,275257.0,276360.0,277643.0,278781.0,279937.0,280849.0,281792.0,282823.0,283672.0,284164.0,284672.0,285628.0,287126.0,288428.0,289091.0,289770.0,290560.0,291650.0,292758.0,293722.0,294924.0,296410.0,298060.0,299468.0,300763.0,302400.0,304678.0,307156.0
17,San Diego,CA,574206.0,573707.0,573063.0,574471.0,576882.0,579368.0,579707.0,580000.0,580023.0,579542.0,576526.0,574344.0,573149.0,576142.0,578928.0,583088.0,586338.0,588013.0,587776.0,587406.0,589100.0,592023.0,596261.0,599757.0,603975.0,607043.0,610945.0,613668.0,617391.0,623359.0,632264.0
18,St. Louis,MO,167439.0,168119.0,169026.0,169590.0,170236.0,170839.0,171324.0,171913.0,172507.0,173206.0,174050.0,174981.0,175873.0,176380.0,177016.0,177513.0,177857.0,177859.0,177976.0,178227.0,178561.0,179062.0,179493.0,180038.0,180534.0,181442.0,182298.0,183543.0,185011.0,186866.0,188845.0
19,Tampa,FL,201969.0,203731.0,204977.0,206144.0,207181.0,208205.0,209327.0,210541.0,211594.0,212839.0,214015.0,214594.0,214756.0,215019.0,215939.0,216764.0,217848.0,218339.0,218875.0,219404.0,220344.0,221231.0,222230.0,223618.0,225214.0,226848.0,228288.0,229959.0,231698.0,234055.0,236574.0
20,Baltimore,MD,288636.0,289517.0,290341.0,290982.0,291785.0,292436.0,292849.0,293004.0,293159.0,293028.0,293179.0,293699.0,294106.0,294573.0,295095.0,295699.0,296087.0,295926.0,295612.0,295420.0,295389.0,295837.0,296318.0,296809.0,297480.0,298284.0,299336.0,300591.0,302333.0,304748.0,307675.0
21,Denver,CO,413721.0,416310.0,419438.0,422410.0,425150.0,427351.0,429439.0,431241.0,433245.0,433951.0,434157.0,434754.0,435625.0,436594.0,436803.0,437640.0,438387.0,439053.0,439252.0,439756.0,440329.0,441758.0,443749.0,445542.0,447375.0,449092.0,451344.0,453399.0,455914.0,459028.0,462724.0
22,Pittsburgh,PA,150892.0,151967.0,153191.0,153800.0,154309.0,154767.0,155222.0,155632.0,155953.0,156290.0,157013.0,158043.0,158554.0,158795.0,159718.0,160939.0,161827.0,161936.0,161881.0,162152.0,162644.0,163380.0,163888.0,164391.0,165091.0,166038.0,166562.0,167312.0,168505.0,170475.0,172719.0
23,Portland,OR,394976.0,396991.0,398435.0,399941.0,401912.0,403057.0,403255.0,403070.0,403382.0,404321.0,405377.0,405884.0,405443.0,405865.0,406495.0,407488.0,408058.0,408690.0,409207.0,410046.0,410638.0,411432.0,412394.0,413608.0,415838.0,417979.0,420691.0,423549.0,426963.0,431034.0,436053.0
24,Charlotte,NC,213739.0,215153.0,216621.0,218187.0,220020.0,221530.0,222925.0,223587.0,224597.0,225585.0,227158.0,228105.0,229191.0,230138.0,231259.0,232218.0,233028.0,233880.0,234781.0,236095.0,237446.0,238725.0,239682.0,241169.0,242696.0,244504.0,246234.0,248189.0,250273.0,252531.0,254932.0
25,Sacramento,CA,399967.0,402239.0,404056.0,405976.0,407829.0,408886.0,408771.0,408768.0,408730.0,409459.0,409968.0,409747.0,409490.0,410781.0,413890.0,417016.0,418491.0,419036.0,419626.0,420728.0,422226.0,423789.0,425790.0,428128.0,431052.0,433342.0,434648.0,435949.0,438954.0,443613.0,449280.0
26,San Antonio,TX,199088.0,200313.0,201616.0,202601.0,203548.0,204315.0,204524.0,205079.0,205404.0,206808.0,207814.0,209316.0,209913.0,210912.0,211676.0,212566.0,213147.0,213596.0,214234.0,214632.0,215152.0,215278.0,215823.0,216024.0,216675.0,217098.0,217730.0,218408.0,219345.0,220509.0,221860.0
27,Orlando,FL,231119.0,233290.0,235378.0,237112.0,238959.0,240844.0,242515.0,244241.0,245307.0,246447.0,247611.0,248946.0,249748.0,249648.0,249818.0,250507.0,251458.0,252038.0,252643.0,253416.0,254687.0,255652.0,256906.0,258083.0,259444.0,260945.0,262284.0,263331.0,264226.0,265437.0,266724.0
28,Cincinnati,OH,170903.0,172202.0,173976.0,175542.0,176751.0,177423.0,177893.0,178494.0,179320.0,180328.0,181661.0,183110.0,184251.0,184769.0,184782.0,185045.0,185725.0,186491.0,187475.0,188155.0,188970.0,189746.0,190559.0,191302.0,192270.0,193488.0,195027.0,196604.0,198148.0,199967.0,201822.0
29,Cleveland,OH,144012.0,144960.0,145107.0,145607.0,146179.0,146664.0,147210.0,147755.0,148708.0,149487.0,150227.0,150525.0,151063.0,151404.0,152447.0,153182.0,154153.0,154536.0,154778.0,155037.0,155350.0,155974.0,156716.0,157560.0,158343.0,159407.0,160402.0,161670.0,162935.0,164832.0,166936.0
30,Kansas City,MO,188637.0,189869.0,191173.0,192481.0,193445.0,194460.0,195396.0,196212.0,197020.0,198077.0,198996.0,199761.0,200176.0,200742.0,201323.0,202086.0,202838.0,203342.0,203803.0,204370.0,204986.0,205514.0,206110.0,207007.0,208352.0,209691.0,211097.0,212496.0,214168.0,216165.0,218314.0
